,meta_country,policy_health,policy_health_note,policy_ehealth,policy_ehealth_note,policy_his,policy_his_note,policy_telehealth,policy_telehealth_note,funding_public,funding_public_note,funding_private,funding_private_note,funding_donor,funding_donor_note,funding_publicprivate,funding_publicprivate_note,policy_multilingual,policy_multilingual_note,sites_multilingual,training_preservice,training_preservice_note,training_inservice,training_inservice_note,population_1000s,lifeexpectancy_years,GNI_percentgdp,healthspend_percentgdp,physician_per10000,ICTdevindex_rank,nurse_per10000,mobilephone_percent,hospitalbed_per10000,internetusers_percent,legal_ehealth,legal_safety,legal_privacyanyformat,legal_privacydigital,sharing_national,sharing_international,sharing_research,owndata_access,owndata_correction,owndata_deletion,owndata_sharingcontrol,legal_registration,legal_idmanagement,teleradiology,teleradiology_note,teledermatology,teledermatology_note,telepathology,telepathology_note,telepsychiatry,telepsychiatry_note,remotemonitoring,remotemonitoring_note,elearning_students_medicine,elearning_students_dentistry,elearning_students_publichealth,elearning_students_nursing,elearning_students_pharmacy,elearning_students_biomedical,elearning_prof_medical,elearning_prof_dentistry,elearning_prof_publichealth,elearning_prof_nursing,elearning_prof_pharmacy,elearning_prof_biomedical,ehr_national,ehr_national_note,ehr_legislation,ehr_primary,ehr_primary_note,ehr_secondary,ehr_secondary_note,ehr_tertiary,ehr_tertiary_note,ehr_laboratory,ehr_pathology,ehr_pharmacy,ehr_pacs,ehr_vaccinationalerts,ehr_billing,ehr_supplychain,ehr_hr,meta_region,sm_policy,sm_policy_note,sm_policyhealth,sm_org_healthpromotion,sm_org_appointment,sm_org_feedback,sm_org_announcements,sm_org_emergency,sm_ind_learn,sm_ind_decide,sm_ind_feedback,sm_ind_campaign,sm_ind_forum,policy_bigdata_health,policy_bigdata_health_note,policy_bigdata_private,policy_bigdata_private_note,mhealth_tollfree,mhealth_tollfree_note,mhealth_callcentre,mhealth_callcentre_note,mhealth_appointments,mhealth_appointments_note,mhealth_telehealth,mhealth_telehealth_note,mhealth_disaster,mhealth_disaster_note,mhealth_adherence,mhealth_adherence_note,mhealth_community,mhealth_community_note,mhealth_infoaccess,mhealth_infoaccess_note,mhealth_records,mhealth_records_note,mhealth_mlearning,mhealth_mlearning_note,mhealth_dss,mhealth_dss_note,mhealth_monitoring,mhealth_monitoring_note,mhealth_survey,mhealth_survey_note,mhealth_surveillance,mhealth_surveillance_note
0,Afghanistan,,,,,Yes,,No,,No,0,Yes,25,Yes,50-75,,0,No,,Yes,Yes,25,Yes,25,30552,61,2000,8.1,0.27,,0.50,60.35,4,5.5,No,No,No,No,,,No,,,,,Yes,,National,Established,National,Established,National,,National,Established,National,Established,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,No,No,Yes,WHO Eastern Mediterranean Region,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,No,,,,,,Local,Pilot,Intermediate,Informal,National  Intermediate  Local,Informal,National,Pilot,National,Pilot,National,Established,,,,,National,Pilot,,,,,,
1,Albania,Yes,2013,No,,No,,No,,Yes,0,,0,Yes,25,No,0,,,No,No,,No,,3173,74,10520,5.9,1.15,80,3.85,110.69,28,54.7,,,Yes,No,No,No,No,No,No,No,No,,,National,Pilot,National,Pilot,National,Pilot,National,Pilot,,,,,,,,,,,,,,,Yes,2015,Yes,Yes,75,Yes,75,Yes,75,No,No,No,No,No,,No,Yes,WHO European Region,Yes,2013,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,,No,,,,,,,,National,Pilot,National,Pilot,,,,,,,,,National,Pilot,,,National,Pilot,,,,
2,Argentina,Yes,2005,Yes,2014,Yes,2007,Yes,2010,Yes,50-75,No,0,Yes,25,Yes,0,No,,No,Yes,25-50,Yes,25-50,41446,76,,7.3,3.86,53,0.48,151.91,45,55.8,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Reg  Nat  Intm  Loc Informal,Pilot,,,National  Intermediate  Local Informal  Pilot,Established,,,,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,Yes,Yes,Yes,WHO Region of the Americas,No,,,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,2009,No,,Reg  Nat  Intm  Loc,Established,Reg  Nat  Intm  Loc,Established,Regional  Intermediate  Local Informal,Pilot,National,Established,Intermediate,Established,Intermediate  Local Informal  Pilot,Established,Regional  Intermediate  Local,Established,All,Established,Local Pilot,Established,Local Pilot,Established,Local,Informal,Regional  Local Pilot,Established,Intermediate,Pilot,,
3,Armenia,Yes,2012,Yes,2012,Yes,2010,Yes,2010,No,0,Yes,0,Yes,25,No,0,No,,Yes,Yes,50-75,No,,2977,71,8140,4.5,2.70,74,4.83,111.91,37,39.2,No,No,Yes,Yes,No,No,Yes,No,,No,No,Yes,Yes,All,Pilot,Local,Informal,Intermediate  Local Informal,Pilot,,,Intermediate  Local Informal,Pilot,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,,No,WHO European Region,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Regional  Intermediate  Local,Established,Local,Informal,Local,Informal,Intermediate  Local,Pilot,,,National  Intermediate,Informal,,,Local,Informal,Intermediate  Local Informal  Pilot,Established,,,Local,Informal,Local,Informal,Intermediate  Local Informal,Pilot,,
4,Australia,Yes,2008,Yes,2008,No,,No,,Yes,75,No,0,No,0,No,0,,,Yes,Yes,25-50,Yes,50-75,23343,83,42540,9.4,3.27,11,10.65,105.59,38,82.3,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,National,Pilot,,,,,National,Established,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2012,Yes,Yes,25-50,Yes,25-50,Yes,,No,No,Yes,No,No,Yes,Yes,,WHO Western Pacific Region,Yes,2013,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,No,,Yes,,Regional  National  Local,Established,National,Established,,,,,,,,,National,Established,,,National,Established,,,,,,,,,,
5,Austria,No,,No,,Yes,2008,No,,Yes,75,Yes,25,No,0,No,0,No,,Yes,Yes,25,Yes,25,8495,81,43840,11,3.38,21,9.38,,77,81,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Intermediate  Local Informal,Established,,,Local,,,,Intermediate Informal,Pilot,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,2015,Yes,Yes,25,Yes,50-75,Yes,25,Yes,No,Yes,Yes,No,Yes,,,WHO European Region,No,,,,,,,,Yes,Yes,,Yes,Yes,No,,No,,National,Established,Intermediate,Established,Local,Informal,,,Intermediate,Informal,Local,Informal,,,,,,,,,,,Local,Informal,,,,
6,Azerbaijan,Yes,,Yes,2010,Yes,2010,No,,Yes,50-75,Yes,25,Yes,25,Yes,0,No,,Yes,Yes,25,No,,9413,72,16180,5.6,3.40,61,6.54,108.77,75,54.2,No,No,Yes,Yes,No,No,No,No,,,No,Yes,Yes,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,2007,Yes,Yes,50-75,Yes,25-50,No,,No,No,No,No,Yes,No,Yes,Yes,WHO European Region,No,,,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,,No,,National,Established,National,Established,,,International  Regional   National,,,,,,,,National,,National,Pilot,,,,,,,,,,
7,Burundi,No,,No,,Yes,2011,No,,Yes,25,Yes,25,Yes,50-75,Yes,25,,,No,No,,Yes,25,10163,56,820,8,0.03,,0.19,22.81,19,1.2,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,National,Informal,,Informal,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,No,No,WHO African Region,No,,,No,No,No,No,No,No,No,No,No,No,No,,No,,National  Intermediate  Local,Pilot,National  Intermediate  Local,Pilot,National  Intermediate  Local,Pilot,Intermediate  Local,Informal,National,Pilot,National  Intermediate  Local,Pilot,National  Intermediate  Local,Informal,National,Established,,Informal,,Informal,,Informal,National  Intermediate,Informal,National,Established,National  Intermediate,Established
8,Belgium,Yes,1944,Yes,2013,Yes,2008,No,,Yes,75,Yes,25,,0,Yes,25,Yes,1919,Yes,Yes,25,Yes,25,11104,80,40280,11.2,3.78,25,16.76,111.33,65,82,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Local,Established,Local,Established,Local,Established,Local,Established,Local,Established,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,2008,Yes,Yes,50-75,Yes,75,Yes,75,Yes,No,Yes,Yes,No,Yes,Yes,Yes,WHO European Region,No,,,Yes,Yes,Yes,Yes,,Yes,,,,,No,,No,,National,Established,Local,Informal,Local,Established,Local,Established,National,Informal,Local,Pilot,Local,Informal,Local,Informal,National Pilot,Established,Local,Informal,National,Pilot,Local,Established,,,,
9,Benin,Yes,2008,No,,Yes,1985,Yes,2012,No,0,No,0,Yes,25,No,0,No,,No,No,,No,,10323,59,1780,4.6,0.06,143,0.77,83.65,5,3.8,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Local,Established,,,International,Established,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,Yes,Yes,WHO African Region,No,,,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,No,,National,Established,National,Established,,,Intermediate,Pilot,,,,,National,Established,International  Regional   National,Informal,,,,,National,Pilot,,,National,Pilot,,
