meta_country,policy_health,policy_ehealth,policy_his,policy_telehealth,funding_public,funding_private,funding_donor,funding_publicprivate,policy_multilingual,sites_multilingual,training_preservice,training_inservice,population_1000s,lifeexpectancy_years,GNI_percentgdp,healthspend_percentgdp,physician_per10000,ICTdevindex_rank,nurse_per10000,mobilephone_percent,hospitalbed_per10000,internetusers_percent,legal_ehealth,legal_safety,legal_privacyanyformat,legal_privacydigital,sharing_national,sharing_international,sharing_research,owndata_access,owndata_correction,owndata_deletion,owndata_sharingcontrol,legal_registration,legal_idmanagement,teleradiology,teledermatology,telepathology,telepsychiatry,remotemonitoring,elearning_students_medicine,elearning_students_dentistry,elearning_students_publichealth,elearning_students_nursing,elearning_students_pharmacy,elearning_students_biomedical,elearning_prof_medical,elearning_prof_dentistry,elearning_prof_publichealth,elearning_prof_nursing,elearning_prof_parmacy,elearning_prof_biomedical,ehr_national,ehr_legislation,ehr_primary,ehr_secondary,ehr_tertiary,ehr_laboratory,ehr_pathology,ehr_pharmacy,ehr_pacs,ehr_vaccinationalerts,ehr_billing,ehr_supplychain,ehr_hr,meta_region,sm_policy,sm_policyhealth,sm_org_healthpromotion,sm_org_appointment,sm_org_feedback,sm_org_announcements,sm_org_emergency,sm_ind_learn,sm_ind_decide,sm_ind_feedback,sm_ind_campaign,sm_ind_forum,policy_bigdata_health,policy_bigdata_private,junk_country,mhealth_tollfree,mhealth_callcentre,mhealth_appointments,mhealth_telehealth,mhealth_disaster,mhealth_adherence,mhealth_community,mhealth_infoaccess,mhealth_records,mhealth_mlearning,mhealth_dss,mhealth_monitoring,mhealth_survey,mhealth_surveillance,junk_footer
Afghanistan,    75  N A,    58  N A,Yes 66     ,No 22  N A,No 77  Zero,Yes 40   25 ,Yes 63  50 75 ,    42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,30 552,61,2 000,8.1,0.27,   ,0.5,60.35,4,5.5,No 31 ,No 46 ,No 78 ,No 54 ,34,22,No 39 ,29,32,18,28,Yes 76 ,65,National Established,National Established,National    ,National Established,National Established,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,No 38 ,No 42 ,Yes 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,No 34 ,       ,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,Yes 69  WHO Eastern Mediterranean,Region,    18  N A,5,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,56,Yes 62 ,Yes 62 ,59,Yes 17     ,No 8  N A,Afghanistan,       ,       ,Local Pilot,Intermediate Informal,National  Intermediate  Local Informal,National Pilot,National Pilot,National Established,       ,       ,National Pilot,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Albania,Yes 75  2013,No 58  N A,No 66  N A,No 22  N A,Yes 77  Zero,    40  Zero,Yes 63   25 ,No 42  Zero,    28  N A,No 48 ,No 74  N A,No 77  N A,3 173,74,10 520,5.9,1.15,80,3.85,110.69,28,54.7,31,46,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,76,65,National Pilot,National Pilot,National Pilot,National Pilot,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes 2015,Yes,Yes  75 ,Yes  75 ,Yes  75 ,No 35 ,No 18 ,No 33 ,No 26 ,No 10 ,58,No 58 ,Yes 69  WHO European,Region,Yes 18  2013,No 5 ,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,No 62 ,Yes 62 ,No 59 ,No 17  N A,No 8  N A,Albania,       ,       ,       ,National Pilot,National Pilot,       ,       ,       ,       ,National Pilot,       ,National Pilot,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Argentina,Yes 75  2005,Yes 58  2014,Yes 66  2007,Yes 22  2010,Yes 77  50 75 ,No 40  Zero,Yes 63   25 ,Yes 42  Zero,No 28  N A,No 48 ,Yes 74  25 50 ,Yes 77  25 50 ,41 446,76,   ,7.3,3.86,53,0.48,151.91,45,55.8,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,29,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,Reg  Nat  Intm  Loc Informal  Pilot,       ,National  Intermediate  Local Informal  Pilot  Established,       ,       ,Yes 58 ,No 39 ,Yes 50 ,Yes 47 ,No 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,56,Yes 62 ,Yes 62 ,Yes 59 ,Yes 17  2009,No 8  N A,Argentina,Reg  Nat  Intm  Loc Established,Reg  Nat  Intm  Loc Established,Regional  Intermediate  Local Informal  Pilot,National Established,Intermediate Established,Intermediate  Local Informal  Pilot  Established,Regional  Intermediate  Local Established,All Established,Local Pilot  Established,Local Pilot  Established,Local Informal,Regional  Local Pilot  Established,Intermediate Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Armenia,Yes 75  2012,Yes 58  2012,Yes 66  2010,Yes 22  2010,No 77  Zero,Yes 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74  50 75 ,No 77  N A,2 977,71,8 140,4.5,2.7,74,4.83,111.91,37,39.2,No 31 ,No 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,32,No 18 ,No 28 ,Yes 76 ,Yes 65 ,All Pilot,Local Informal,Intermediate  Local Informal  Pilot,       ,Intermediate  Local Informal  Pilot,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,58,No 69  WHO European,Region,    18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,    17  N A,    8  N A,Armenia,Regional  Intermediate  Local Established,Local Informal,Local Informal,Intermediate  Local Pilot,       ,National  Intermediate Informal,       ,Local Informal,Intermediate  Local Informal  Pilot  Established,       ,Local Informal,Local Informal,Intermediate  Local Informal  Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Australia,Yes 75  2008,Yes 58  2008,No 66  N A,No 22  N A,Yes 77   75 ,No 40  Zero,No 63  Zero,No 42  Zero,N A 28  N A,Yes 48 ,Yes 74  25 50 ,Yes 77  50 75 ,23 343,83,42 540,9.4,3.27,11,10.65,105.59,38,82.3,Yes 31 ,Yes 46 ,78,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,No 76 ,Yes 65 ,National Pilot,       ,       ,National Established,       ,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,Yes 2012,Yes,Yes 25 50 ,Yes 25 50 ,Yes    ,No 35 ,No 18 ,Yes 33 ,No 26 ,No 10 ,Yes 58 ,Yes 58 ,    69  WHO Western Pacific,Region,Yes 18  2013,5,Yes 78 ,24,56,Yes 72 ,Yes 59 ,Yes 79 ,56,62,Yes 62 ,Yes 59 ,No 17  N A,Yes 8     ,Australia,Regional  National  Local Established,National Established,       ,       ,       ,       ,National Established,       ,National Established,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Austria,No 75  N A,No 58  N A,Yes 66  2008,No 22  N A,Yes 77   75 ,Yes 40   25 ,No 63  Zero,No 42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,8 495,81,43 840,11,3.38,21,9.38,   ,77,81,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,39,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,Intermediate  Local Informal  Established,       ,Local    ,       ,Intermediate Informal  Pilot,Yes 58 ,No 39 ,Yes 50 ,Yes 47 ,No 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,No 34 ,Yes 2015,Yes,Yes  25 ,Yes 50 75 ,Yes  25 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,58,    69  WHO European,Region,No 18  N A,5,78,24,56,72,59,Yes 79 ,Yes 56 ,62,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Austria,National Established,Intermediate Established,Local Informal,       ,Intermediate Informal,Local Informal,       ,       ,       ,       ,       ,Local Informal,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Azerbaijan,Yes 75     ,Yes 58  2010,Yes 66  2010,No 22  N A,Yes 77  50 75 ,Yes 40   25 ,Yes 63   25 ,Yes 42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,No 77  N A,9 413,72,16 180,5.6,3.4,61,6.54,108.77,75,54.2,No 31 ,No 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,No 39 ,No 29 ,32,18,No 28 ,Yes 76 ,Yes 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,Yes 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,Yes 2007,Yes,Yes 50 75 ,Yes 25 50 ,No N A,No 35 ,No 18 ,No 33 ,No 26 ,Yes 10 ,No 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,59,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Azerbaijan,National Established,National Established,       ,International  Regional   National    ,       ,       ,       ,National    ,National Pilot,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Burundi,No 75  N A,No 58  N A,Yes 66  2011,No 22  N A,Yes 77   25 ,Yes 40   25 ,Yes 63  50 75 ,Yes 42   25 ,N A 28  N A,No 48 ,No 74  N A,Yes 77   25 ,10 163,56,820,8,0.03,   ,0.19,22.81,19,1.2,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,No 65 ,National Informal,    Informal,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,No 58 ,No 69  WHO African,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,No 79 ,No 56 ,No 62 ,No 62 ,No 59 ,No 17  N A,No 8  N A,Burundi,National  Intermediate  Local Pilot,National  Intermediate  Local Pilot,National  Intermediate  Local Pilot,Intermediate  Local Informal,National Pilot,National  Intermediate  Local Pilot,National  Intermediate  Local Informal,National Established,    Informal,    Informal,    Informal,National  Intermediate Informal,National Established,National  Intermediate Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Belgium,Yes 75  1944,Yes 58  2013,Yes 66  2008,No 22  N A,Yes 77   75 ,Yes 40   25 ,    63  Zero,Yes 42   25 ,Yes 28  1919,Yes 48 ,Yes 74   25 ,Yes 77   25 ,11 104,80,40 280,11.2,3.78,25,16.76,111.33,65,82,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,No 39 ,No 29 ,Yes 32 ,No 18 ,Yes 28 ,No 76 ,Yes 65 ,Local Established,Local Established,Local Established,Local Established,Local Established,Yes 58 ,Yes 39 ,Yes 50 ,No 47 ,Yes 38 ,Yes 42 ,Yes 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,Yes 2008,Yes,Yes 50 75 ,Yes  75 ,Yes  75 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,59,Yes 79 ,56,62,62,59,No 17  N A,No 8  N A,Belgium,National Established,Local Informal,Local Established,Local Established,National Informal,Local Pilot,Local Informal,Local Informal,National Pilot  Established,Local Informal,National Pilot,Local Established,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Benin,Yes 75  2008,No 58  N A,Yes 66  1985,Yes 22  2012,No 77  Zero,No 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,No 48 ,No 74  N A,No 77  N A,10 323,59,1 780,4.6,0.06,143,0.77,83.65,5,3.8,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local Established,       ,International Established,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,Yes 58 ,Yes 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,Yes 72 ,Yes 59 ,No 79 ,No 56 ,No 62 ,Yes 62 ,No 59 ,No 17  N A,No 8  N A,Benin,National Established,National Established,       ,Intermediate Pilot,       ,       ,National Established,International  Regional   National Informal,       ,       ,National Pilot,       ,National Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
