,Country,Joined UN,ISO3166
3,Andorra,1993,AND
4,Angola,1976,AGO
5,Antigua and Barbuda,1981,ATG
11,Bahamas,1973,BHS
14,Barbados,1966,BRB
17,Belize,1981,BLZ
20,Bolivia,1945,BOL
23,Brazil,1945,BRA
24,Brunei,1984,BRN
27,Burma (Myanmar),1948,MMR
31,Cameroon,1960,CMR
35,Chad,1960,TCD
40,"Congo, Dem. Rep. of",1960,COD
41,"Congo, Rep. of",1960,COG
48,Djibouti,1977,DJI
49,Dominica,1978,DMA
52,Ecuador,1945,ECU
53,Egypt,1945,EGY
56,Eritrea,1993,ERI
59,Fiji,1970,FJI
61,France,1945,FRA
62,Gabon,1960,GAB
65,Germany,1973,DEU
68,Grenada,1974,GRD
70,Guinea,1958,GIN
72,Guyana,1966,GUY
73,Haiti,1945,HTI
77,India,1945,IND
78,Indonesia,1950,IDN
91,"Korea, South",1991,KOR
92,Kuwait,1963,KWT
98,Liberia,1945,LBR
99,Libya,1955,LBY
100,Liechtenstein,1990,LIE
103,Macedonia,1993,MKD
110,Marshall Islands,1991,MHL
112,Mauritius,1968,MUS
114,Micronesia,1991,FSM
116,Monaco,1993,MCO
120,Mozambique,1975,MOZ
121,Namibia,1990,NAM
122,Nauru,1999,NRU
123,Nepal,1955,NPL
126,Nicaragua,1945,NIC
128,Nigeria,1960,NGA
132,Palau,1994,PLW
134,Papua New Guinea,1975,PNG
144,Ṣo Tom̩ and Pr�_ncipe,1975,STP
145,Samoa,1976,WSM
147,Saudi Arabia,1945,SAU
151,Sierra Leone,1961,SLE
153,Slovakia,1993,SVK
155,Solomon Islands,1978,SLB
160,Sri Lanka,1955,LKA
161,St. Kitts and Nevis,1983,KNA
162,St. Lucia,1979,LCA
163,St. Vincent and the Grenadines,1980,VCT
165,Suriname,1975,SUR
166,Swaziland,1968,SWZ
171,Tanzania,1961,TZA
172,Thailand,1946,THA
173,Togo,1960,TGO
174,Tonga,1999,TON
179,Tuvalu,2000,TUV
182,United Arab Emirates,1971,ARE
187,Vanuatu,1981,VUT
188,Venezuela,1945,VEN
190,Yemen,1947,YEM
