meta_country,strategy_and_policy,human_capital_capacity,infrastructure_readiness,governance_and_leadership,utilization,total
Afghanistan,0.357142857143,0.5625,0.0,0.0769230769231,0.5,1.49656593407
Albania,0.285714285714,0.0,0.0,0.0769230769231,0.47619047619,0.838827838828
Argentina,0.571428571429,0.75,0.0,0.846153846154,0.619047619048,2.78663003663
Armenia,0.5,0.0625,0.0,0.384615384615,0.571428571429,1.51854395604
Australia,0.428571428571,0.875,0.0,0.846153846154,0.47619047619,2.62591575092
Austria,0.285714285714,0.5625,0.0,0.769230769231,0.52380952381,2.14125457875
Azerbaijan,0.571428571429,0.125,0.0,0.307692307692,0.47619047619,1.48031135531
Burundi,0.357142857143,0.0625,0.0,0.153846153846,0.309523809524,0.883012820513
Belgium,0.571428571429,0.5,0.0,0.538461538462,0.785714285714,2.3956043956
Benin,0.285714285714,0.0,0.0,0.230769230769,0.357142857143,0.873626373626
Burkina Faso,0.214285714286,0.0,0.0,0.230769230769,0.190476190476,0.635531135531
Bangladesh,0.642857142857,0.25,0.0,0.230769230769,0.690476190476,1.8141025641
Bulgaria,0.285714285714,0.875,0.0,0.615384615385,0.357142857143,2.13324175824
Bahrain,0.428571428571,0.25,0.0,0.307692307692,0.5,1.48626373626
Bosnia and Herzegovina,0.214285714286,0.25,0.0,0.307692307692,0.261904761905,1.03388278388
Belarus,0.285714285714,0.5,0.0,0.153846153846,0.309523809524,1.24908424908
Bhutan,0.357142857143,0.0625,0.0,0.0769230769231,0.190476190476,0.687042124542
Botswana,0.142857142857,0.0625,0.0,0.384615384615,0.857142857143,1.44711538462
Central African Republic,0.0,0.0,0.0,0.0,0.285714285714,0.285714285714
Canada,0.428571428571,0.875,0.0,0.769230769231,0.928571428571,3.00137362637
Switzerland,0.5,0.5,0.0,0.538461538462,0.5,2.03846153846
Chile,0.285714285714,0.4375,0.0,0.615384615385,0.52380952381,1.86240842491
China,0.5,0.875,0.0,0.153846153846,0.97619047619,2.50503663004
Cote D Ivoire,0.5,0.0625,0.0,0.461538461538,0.5,1.52403846154
Colombia,0.214285714286,0.375,0.0,0.923076923077,0.714285714286,2.22664835165
Comoros,0.0714285714286,0.0625,0.0,0.0,0.166666666667,0.300595238095
Cabo Verde,0.857142857143,0.8125,0.0,0.384615384615,0.809523809524,2.86378205128
Costa Rica,0.5,0.875,0.0,0.615384615385,0.857142857143,2.84752747253
Cuba,0.5,0.125,0.0,0.384615384615,0.285714285714,1.29532967033
Cyprus,0.357142857143,0.25,0.0,0.0,0.190476190476,0.797619047619
Czech Republic,0.285714285714,0.5625,0.0,0.307692307692,0.452380952381,1.60828754579
Denmark,0.5,0.5,0.0,0.769230769231,0.619047619048,2.38827838828
Dominican Republic,0.428571428571,0.5,0.0,0.384615384615,0.571428571429,1.88461538462
Algeria,0.428571428571,0.875,0.0,0.0769230769231,0.357142857143,1.73763736264
Spain,0.571428571429,0.3125,0.0,0.923076923077,0.928571428571,2.73557692308
Estonia,0.5,0.4375,0.0,0.923076923077,0.857142857143,2.71771978022
Ethiopia,0.642857142857,0.3125,0.0,0.769230769231,0.738095238095,2.46268315018
Finland,0.5,0.6875,0.0,0.923076923077,0.880952380952,2.99152930403
United Kingdom of Great Britain and Northern Ireland,0.785714285714,0.875,0.0,0.615384615385,0.690476190476,2.96657509158
Georgia,0.5,0.5,0.0,0.461538461538,0.52380952381,1.98534798535
Ghana,0.357142857143,0.875,0.0,0.461538461538,0.619047619048,2.31272893773
Gambia,0.214285714286,0.375,0.0,0.0769230769231,0.285714285714,0.951923076923
Guinea-Bissau,0.0714285714286,0.0,0.0,0.0,0.142857142857,0.214285714286
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0.5,0.875,0.0,1.0,0.547619047619,2.92261904762
Guatemala,0.214285714286,0.625,0.0,0.307692307692,0.190476190476,1.33745421245
Honduras,0.428571428571,0.5625,0.0,0.307692307692,0.333333333333,1.6320970696
Croatia,0.5,0.3125,0.0,0.307692307692,0.47619047619,1.59638278388
Hungary,0.214285714286,0.1875,0.0,0.692307692308,0.547619047619,1.64171245421
Ireland,0.357142857143,0.0625,0.0,0.769230769231,0.309523809524,1.4983974359
Iran  Islamic Republic of ,0.357142857143,0.5,0.0,0.230769230769,0.690476190476,1.77838827839
Iraq,0.142857142857,0.0,0.0,0.307692307692,0.0714285714286,0.521978021978
Iceland,0.571428571429,0.125,0.0,1.0,0.619047619048,2.31547619048
Israel,0.571428571429,0.3125,0.0,0.769230769231,0.714285714286,2.36744505495
Italy,0.714285714286,0.8125,0.0,0.923076923077,0.928571428571,3.37843406593
Jamaica,0.357142857143,0.4375,0.0,0.0769230769231,0.547619047619,1.41918498168
Jordan,0.571428571429,0.75,0.0,0.384615384615,0.904761904762,2.61080586081
Japan,0.571428571429,0.8125,0.0,0.538461538462,0.52380952381,2.4461996337
Kazakhstan,0.571428571429,0.5,0.0,0.769230769231,0.809523809524,2.65018315018
Kenya,0.214285714286,0.0625,0.0,0.230769230769,0.261904761905,0.76945970696
Kyrgyzstan,0.428571428571,0.3125,0.0,0.230769230769,0.238095238095,1.20993589744
Cambodia,0.142857142857,0.3125,0.0,0.153846153846,0.52380952381,1.13301282051
Kiribati,0.142857142857,0.0625,0.0,0.0769230769231,0.404761904762,0.687042124542
Lao People s Democratic Republic,0.214285714286,0.0,0.0,0.0,0.0952380952381,0.309523809524
Lebanon,0.285714285714,0.75,0.0,0.230769230769,0.47619047619,1.74267399267
Lesotho,0.142857142857,0.125,0.0,0.0,0.190476190476,0.458333333333
Lithuania,0.642857142857,0.875,0.0,0.923076923077,0.97619047619,3.41712454212
Luxembourg,0.357142857143,0.1875,0.0,0.846153846154,0.642857142857,2.03365384615
Latvia,0.428571428571,0.75,0.0,0.846153846154,0.619047619048,2.64377289377
Morocco,0.571428571429,0.25,0.0,0.307692307692,0.428571428571,1.55769230769
Republic of Moldova,0.642857142857,0.5625,0.0,0.461538461538,0.595238095238,2.26213369963
Madagascar,0.142857142857,0.3125,0.0,0.0,0.428571428571,0.883928571429
Maldives,0.214285714286,0.1875,0.0,0.230769230769,0.214285714286,0.846840659341
Mexico,0.642857142857,0.6875,0.0,0.923076923077,0.714285714286,2.96771978022
Mali,0.571428571429,0.375,0.0,0.0769230769231,0.571428571429,1.59478021978
Malta,0.142857142857,0.3125,0.0,0.615384615385,0.428571428571,1.49931318681
Montenegro,0.285714285714,0.0625,0.0,0.384615384615,0.404761904762,1.13759157509
Mongolia,0.928571428571,0.75,0.0,0.923076923077,0.714285714286,3.31593406593
Mauritania,0.285714285714,0.25,0.0,0.230769230769,0.285714285714,1.0521978022
Malawi,0.5,0.3125,0.0,0.153846153846,0.690476190476,1.65682234432
Malaysia,0.928571428571,0.3125,0.0,0.923076923077,0.785714285714,2.94986263736
Niger,0.285714285714,0.5625,0.0,0.153846153846,0.642857142857,1.64491758242
Netherlands,0.571428571429,0.875,0.0,0.846153846154,0.761904761905,3.05448717949
Norway,0.571428571429,0.875,0.0,0.538461538462,0.809523809524,2.79441391941
New Zealand,0.571428571429,0.875,0.0,0.769230769231,0.690476190476,2.90613553114
Oman,0.5,0.8125,0.0,0.230769230769,0.761904761905,2.30517399267
