,Country,Joined UN,ISO3166
1,Albania,1955,ALB
2,Algeria,1962,DZA
3,Andorra,1993,AND
5,Antigua and Barbuda,1981,ATG
6,Argentina,1945,ARG
7,Armenia,1992,ARM
8,Australia,1945,AUS
9,Austria,1955,AUT
11,Bahamas,1973,BHS
12,Bahrain,1971,BHR
14,Barbados,1966,BRB
15,Belarus,1945,BLR
16,Belgium,1945,BEL
17,Belize,1981,BLZ
18,Benin,1960,BEN
19,Bhutan,1971,BTN
21,Bosnia and Herzegovina,1992,BIH
23,Brazil,1945,BRA
24,Brunei,1984,BRN
25,Bulgaria,1955,BGR
31,Cameroon,1960,CMR
32,Canada,1945,CAN
33,Cape Verde,1975,CPV
35,Chad,1960,TCD
36,Chile,1945,CHL
38,Colombia,1945,COL
41,"Congo, Rep. of",1960,COG
42,Costa Rica,1945,CRI
43,Croatia,1992,HRV
44,Cuba,1945,CUB
45,Cyprus,1960,CYP
46,Czech Republic,1993,CZE
47,Denmark,1945,DNK
49,Dominica,1978,DMA
50,Dominican Republic,1945,DOM
51,East Timor,2002,TLS
52,Ecuador,1945,ECU
53,Egypt,1945,EGY
54,El Salvador,1945,SLV
56,Eritrea,1993,ERI
57,Estonia,1991,EST
59,Fiji,1970,FJI
60,Finland,1955,FIN
61,France,1945,FRA
62,Gabon,1960,GAB
64,Georgia,1992,GEO
65,Germany,1973,DEU
67,Greece,1945,GRC
68,Grenada,1974,GRD
71,Guinea-Bissau,1974,GNB
72,Guyana,1966,GUY
74,Honduras,1945,HND
75,Hungary,1955,HUN
76,Iceland,1946,ISL
79,Iran,1945,IRN
81,Ireland,1955,IRL
82,Israel,1949,ISR
83,Italy,1955,ITA
84,Jamaica,1962,JAM
85,Japan,1956,JPN
86,Jordan,1955,JOR
87,Kazakhstan,1992,KAZ
89,Kiribati,1999,KIR
91,"Korea, South",1991,KOR
92,Kuwait,1963,KWT
95,Latvia,1991,LVA
96,Lebanon,1945,LBN
99,Libya,1955,LBY
100,Liechtenstein,1990,LIE
101,Lithuania,1991,LTU
102,Luxembourg,1945,LUX
103,Macedonia,1993,MKD
106,Malaysia,1957,MYS
107,Maldives,1965,MDV
108,Mali,1960,MLI
109,Malta,1964,MLT
110,Marshall Islands,1991,MHL
112,Mauritius,1968,MUS
114,Micronesia,1991,FSM
115,Moldova,1992,MDA
116,Monaco,1993,MCO
117,Mongolia,1961,MNG
118,Montenegro,2006,MNE
121,Namibia,1990,NAM
122,Nauru,1999,NRU
124,Netherlands,1945,NLD
125,New Zealand,1945,NZL
126,Nicaragua,1945,NIC
129,Norway,1945,NOR
130,Oman,1971,OMN
132,Palau,1994,PLW
133,Panama,1945,PAN
135,Paraguay,1945,PRY
138,Poland,1945,POL
139,Portugal,1955,PRT
140,Qatar,1971,QAT
141,Romania,1955,ROU
142,Russia,1945,RUS
144,Ṣo Tom̩ and Pr�_ncipe,1975,STP
145,Samoa,1976,WSM
146,San Marino,1992,SMR
147,Saudi Arabia,1945,SAU
148,Senegal,1960,SEN
149,Serbia,2000,SRB
150,Seychelles,1976,SYC
152,Singapore,1965,SGP
153,Slovakia,1993,SVK
154,Slovenia,1992,SVN
159,Spain,1955,ESP
160,Sri Lanka,1955,LKA
161,St. Kitts and Nevis,1983,KNA
162,St. Lucia,1979,LCA
163,St. Vincent and the Grenadines,1980,VCT
165,Suriname,1975,SUR
167,Sweden,1946,SWE
168,Switzerland,2002,CHE
169,Syria,1945,SYR
172,Thailand,1946,THA
174,Tonga,1999,TON
175,Trinidad and Tobago,1962,TTO
176,Tunisia,1956,TUN
177,Turkey,1945,TUR
178,Turkmenistan,1992,TKM
179,Tuvalu,2000,TUV
181,Ukraine,1945,UKR
182,United Arab Emirates,1971,ARE
183,United Kingdom,1945,GBR
184,United States,1945,USA
185,Uruguay,1945,URY
187,Vanuatu,1981,VUT
188,Venezuela,1945,VEN
