,*Numerical code*,*   Country or area name*,*ISO ALPHA-3* *code*
1,248,Åland Islands,ALA
2,8,Albania,ALB
3,12,Algeria,DZA
4,16,American Samoa,ASM
5,20,Andorra,AND
7,660,Anguilla,AIA
8,28,Antigua and Barbuda,ATG
9,32,Argentina,ARG
10,51,Armenia,ARM
11,533,Aruba,ABW
12,36,Australia,AUS
13,40,Austria,AUT
15,44,Bahamas,BHS
16,48,Bahrain,BHR
18,52,Barbados,BRB
19,112,Belarus,BLR
20,56,Belgium,BEL
21,84,Belize,BLZ
22,204,Benin,BEN
23,60,Bermuda,BMU
24,64,Bhutan,BTN
26,535,"Bonaire, Sint Eustatius and Saba",BES
27,70,Bosnia and Herzegovina,BIH
29,76,Brazil,BRA
30,92,British Virgin Islands,VGB
31,96,Brunei Darussalam,BRN
32,100,Bulgaria,BGR
35,132,Cabo Verde,CPV
37,120,Cameroon,CMR
38,124,Canada,CAN
39,136,Cayman Islands,CYM
41,148,Chad,TCD
42,830,Channel Islands,
43,152,Chile,CHL
45,344,"China, Hong Kong Special Administrative Region",HKG
46,446,"China, Macao Special Administrative Region",MAC
47,170,Colombia,COL
49,178,Congo,COG
50,184,Cook Islands,COK
51,188,Costa Rica,CRI
53,191,Croatia,HRV
54,192,Cuba,CUB
55,531,Curaçao,CUW
56,196,Cyprus,CYP
57,203,Czechia,CZE
60,208,Denmark,DNK
62,212,Dominica,DMA
63,214,Dominican Republic,DOM
64,218,Ecuador,ECU
65,818,Egypt,EGY
66,222,El Salvador,SLV
68,232,Eritrea,ERI
69,233,Estonia,EST
71,234,Faeroe Islands,FRO
72,238,Falkland Islands (Malvinas),FLK
73,242,Fiji,FJI
74,246,Finland,FIN
75,250,France,FRA
76,254,French Guiana,GUF
77,258,French Polynesia,PYF
78,266,Gabon,GAB
80,268,Georgia,GEO
81,276,Germany,DEU
83,292,Gibraltar,GIB
84,300,Greece,GRC
85,304,Greenland,GRL
86,308,Grenada,GRD
87,312,Guadeloupe,GLP
88,316,Guam,GUM
90,831,Guernsey,GGY
92,624,Guinea-Bissau,GNB
93,328,Guyana,GUY
95,336,Holy See,VAT
96,340,Honduras,HND
97,348,Hungary,HUN
98,352,Iceland,ISL
101,364,Iran (Islamic Republic of),IRN
103,372,Ireland,IRL
104,833,Isle of Man,IMN
105,376,Israel,ISR
106,380,Italy,ITA
107,388,Jamaica,JAM
108,392,Japan,JPN
109,832,Jersey,JEY
110,400,Jordan,JOR
111,398,Kazakhstan,KAZ
113,296,Kiribati,KIR
114,414,Kuwait,KWT
117,428,Latvia,LVA
118,422,Lebanon,LBN
121,434,Libya,LBY
122,438,Liechtenstein,LIE
123,440,Lithuania,LTU
124,442,Luxembourg,LUX
127,458,Malaysia,MYS
128,462,Maldives,MDV
129,466,Mali,MLI
130,470,Malta,MLT
131,584,Marshall Islands,MHL
132,474,Martinique,MTQ
134,480,Mauritius,MUS
135,175,Mayotte,MYT
137,583,Micronesia (Federated States of),FSM
138,492,Monaco,MCO
139,496,Mongolia,MNG
140,499,Montenegro,MNE
141,500,Montserrat,MSR
145,516,Namibia,NAM
146,520,Nauru,NRU
148,528,Netherlands,NLD
149,540,New Caledonia,NCL
150,554,New Zealand,NZL
151,558,Nicaragua,NIC
154,570,Niue,NIU
155,574,Norfolk Island,NFK
156,580,Northern Mariana Islands,MNP
157,578,Norway,NOR
158,512,Oman,OMN
160,585,Palau,PLW
161,591,Panama,PAN
163,600,Paraguay,PRY
166,612,Pitcairn,PCN
167,616,Poland,POL
168,620,Portugal,PRT
169,630,Puerto Rico,PRI
170,634,Qatar,QAT
171,410,Republic of Korea,KOR
172,498,Republic of Moldova,MDA
173,638,Réunion,REU
174,642,Romania,ROU
175,643,Russian Federation,RUS
177,652,Saint Barthélemy,BLM
178,654,Saint Helena,SHN
179,659,Saint Kitts and Nevis,KNA
180,662,Saint Lucia,LCA
181,663,Saint Martin (French part),MAF
182,666,Saint Pierre and Miquelon,SPM
183,670,Saint Vincent and the Grenadines,VCT
184,882,Samoa,WSM
185,674,San Marino,SMR
186,678,Sao Tome and Principe,STP
187,680,Sark,
188,682,Saudi Arabia,SAU
189,686,Senegal,SEN
190,688,Serbia,SRB
191,690,Seychelles,SYC
193,702,Singapore,SGP
194,534,Sint Maarten (Dutch part),SXM
195,703,Slovakia,SVK
196,705,Slovenia,SVN
201,724,Spain,ESP
202,144,Sri Lanka,LKA
203,275,State of Palestine,PSE
205,740,Suriname,SUR
206,744,Svalbard and Jan Mayen Islands,SJM
208,752,Sweden,SWE
209,756,Switzerland,CHE
210,760,Syrian Arab Republic,SYR
212,764,Thailand,THA
213,807,The former Yugoslav Republic of Macedonia,MKD
214,626,Timor-Leste,TLS
216,772,Tokelau,TKL
217,776,Tonga,TON
218,780,Trinidad and Tobago,TTO
219,788,Tunisia,TUN
220,792,Turkey,TUR
221,795,Turkmenistan,TKM
222,796,Turks and Caicos Islands,TCA
223,798,Tuvalu,TUV
225,804,Ukraine,UKR
226,784,United Arab Emirates,ARE
227,826,United Kingdom of Great Britain and Northern Ireland,GBR
229,840,United States of America,USA
230,850,United States Virgin Islands,VIR
231,858,Uruguay,URY
233,548,Vanuatu,VUT
234,862,Venezuela (Bolivarian Republic of),VEN
236,876,Wallis and Futuna Islands,WLF
237,732,Western Sahara,ESH
