,country,nulls
0,Afghanistan,52
1,Albania,49
2,Argentina,28
3,Armenia,46
4,Australia,40
5,Austria,39
6,Azerbaijan,48
7,Burundi,46
8,Belgium,15
9,Benin,53
10,Burkina Faso,63
11,Bangladesh,31
12,Bulgaria,45
13,Bahrain,44
14,Bosnia and Herzegovina,55
15,Belarus,44
16,Bhutan,67
17,Botswana,28
18,Central African Republic,76
19,Canada,10
20,Switzerland,32
21,Chile,29
22,China,7
23,Cote D Ivoire,46
24,Colombia,38
25,Comoros,69
26,Cabo Verde,13
27,Costa Rica,11
28,Cuba,55
29,Cyprus,80
30,Czech Republic,39
31,Denmark,29
32,Dominican Republic,30
33,Algeria,47
34,Spain,14
35,Estonia,9
36,Ethiopia,16
37,Finland,8
38,United Kingdom of Great Britain and Northern Ireland,16
39,Georgia,49
40,Ghana,34
41,Gambia,47
42,Guinea-Bissau,74
43,Equatorial Guinea,75
44,Greece,36
45,Guatemala,48
46,Honduras,51
47,Croatia,40
48,Hungary,45
49,Ireland,67
50,Iran  Islamic Republic of ,17
51,Iraq,88
52,Iceland,37
53,Israel,25
54,Italy,4
55,Jamaica,32
56,Jordan,16
57,Japan,50
58,Kazakhstan,17
59,Kenya,58
60,Kyrgyzstan,61
61,Cambodia,47
62,Kiribati,76
63,Lao People s Democratic Republic,74
64,Lebanon,44
65,Lesotho,61
66,Lithuania,8
67,Luxembourg,32
68,Latvia,29
69,Morocco,46
70,Republic of Moldova,18
71,Madagascar,56
72,Maldives,65
73,Mexico,19
74,Mali,28
75,Malta,47
76,Montenegro,65
77,Mongolia,23
78,Mauritania,39
79,Malawi,30
80,Malaysia,14
81,Niger,18
82,Netherlands,21
83,Norway,29
84,New Zealand,20
85,Oman,18
86,Pakistan,12
87,Panama,29
88,Peru,27
89,Philippines,25
90,Poland,46
91,Democratic People s Republic of Korea,69
92,Portugal,19
93,Paraguay,18
94,Qatar,58
95,Romania,90
96,Russian Federation,13
97,Rwanda,59
98,Sudan,55
99,Senegal,21
100,Singapore,6
101,El Salvador,33
102,San Marino,75
103,Somalia,83
104,Serbia,76
105,South Sudan,75
106,Slovenia,45
107,Sweden,28
108,Seychelles,47
109,Syrian Arab Republic,60
110,Tajikistan,21
111,Turkmenistan,41
112,Timor-Leste,67
113,Trinidad and Tobago,48
114,Tunisia,97
115,Turkey,28
116,Uganda,16
117,Ukraine,18
118,Uruguay,22
119,United States of America,60
120,Uzbekistan,13
121,Viet Nam,55
122,South Africa,61
123,Zambia,42
124,Zimbabwe,27
