Code,Country,2015,2014,2013,2012
ALB,Albania,3.702634436,3.663822802,3.751972883,3.894909204
DZA,Algeria,3.086647394,2.982823345,2.782775091,3.014287168
AGO,Angola,2.497545972,2.518488578,,2.490880237
ARG,Argentina,3.719094412,3.52994453,3.471811158,3.519784141
ARM,Armenia,4.247407222,4.02851952,3.762165185,3.492148361
AUS,Australia,5.483677752,5.396896338,5.25732454,5.289109786
AUT,Austria,5.393888033,5.261679825,5.249426401,5.254114166
AZE,Azerbaijan,4.280398223,4.310901163,4.113763362,3.949794722
BHR,Bahrain,4.896945404,4.857953485,4.829344231,4.898548412
BGD,Bangladesh,3.305199166,3.211645385,3.21951001,3.200297551
BRB,Barbados,4.552246973,4.224200712,4.493381228,4.609967871
BEL,Belgium,5.293126918,5.061894569,5.098977985,5.13222238
BLZ,Belize,,,,3.01371203
BEN,Benin,,2.823011822,2.968598189,3.048422921
BTN,Bhutan,3.744543669,3.679970089,,
BOL,Bolivia,3.303863866,3.207816759,3.010132159,2.921788387
BIH,Bosnia and Herzegovina,,3.98509271,3.803954622,3.65218747
BWA,Botswana,3.429933457,3.433409432,3.498423461,3.583241297
BRA,Brazil,3.853130733,3.981530926,3.969465981,3.916152353
BRN,Brunei Darussalam,,4.340783972,4.107772084,4.038919891
BGR,Bulgaria,4.007031027,3.957906818,3.869243883,3.891587887
BFA,Burkina Faso,2.787670305,2.781788976,2.796024915,2.72291948
BDI,Burundi,2.413867413,2.306004382,2.304823954,2.573346711
KHM,Cambodia,3.304889592,3.361836845,3.338390422,3.316238394
CMR,Cameroon,2.987820399,2.943663626,2.949708407,2.934813264
CAN,Canada,5.531127275,5.407515818,5.442143398,5.505363971
CPV,Cape Verde,3.783504622,3.733703078,3.778226201,3.711559275
TCD,Chad,2.297945517,2.223767796,2.532810037,2.553036859
CHL,Chile,4.604633444,4.608282747,4.593909122,4.439252052
CHN,China,4.161642082,4.051348262,4.031824837,4.111946736
COL,Colombia,4.135816858,4.049066172,3.908777493,3.869029393
CRI,Costa Rica,4.395081425,4.247225425,4.14940463,4.004147306
CIV,Cªte d'Ivoire,3.230967605,3.135443037,2.997208673,2.978280572
HRV,Croatia,4.335374941,4.33818549,4.171228131,4.218256963
CYP,Cyprus,4.654047039,4.595676858,4.593104871,4.660112747
CZE,Czech Republic,4.503463062,4.487493568,4.376948692,4.332090382
DNK,Denmark,5.505015049,5.495961723,5.578537994,5.696978576
DOM,Dominican Republic,3.6019417,3.691579337,3.618799872,3.604685506
ECU,Ecuador,,3.854656532,3.575518625,3.456128917
