IDI 2015 Rank,Economy,IDI 2015 Value,IDI 2010 Rank,IDI 2010 Value,Rank Change
1,Korea (Rep.),8.93,1,8.64,
2,Denmark,8.88,4,8.18,
3,Iceland,8.86,3,8.19,
4,United Kingdom,8.75,10,7.62,
5,Sweden,8.67,2,8.43,
6,Luxembourg,8.59,8,7.82,
7,Switzerland,8.56,12,7.6,
8,Netherlands,8.53,7,7.82,
9,"Hong Kong, China",8.52,13,7.41,
10,Norway,8.49,5,8.16,
11,Japan,8.47,9,7.73,
12,Finland,8.36,6,7.96,
13,Australia,8.29,15,7.32,
14,Germany,8.22,17,7.28,
15,United States,8.19,16,7.3,
16,New Zealand,8.14,19,7.17,
17,France,8.12,18,7.22,
18,Monaco,8.1,22,7.01,
19,Singapore,8.08,11,7.62,
20,Estonia,8.05,25,6.7,
21,Belgium,7.88,24,6.76,
22,Ireland,7.82,20,7.04,
23,Canada,7.76,21,7.03,
24,"Macao, China",7.73,14,7.38,
25,Austria,7.67,23,6.9,
26,Spain,7.66,30,6.53,
27,Bahrain,7.63,48,5.42,
28,Andorra,7.6,29,6.6,
29,Barbados,7.57,38,6.04,
30,Malta,7.52,28,6.67,
31,Qatar,7.44,37,6.1,
32,United Arab Emirates,7.32,49,5.38,
33,Slovenia,7.23,27,6.69,
34,Czech Republic,7.21,33,6.3,
35,Israel,7.19,26,6.69,
36,Belarus,7.18,50,5.3,
37,Latvia,7.16,34,6.22,
38,Italy,7.12,31,6.38,
39,Greece,7.09,35,6.2,
40,Lithuania,7.08,39,6.02,
41,Saudi Arabia,7.05,56,4.96,
42,Croatia,7,42,5.82,
43,Portugal,6.93,36,6.15,
44,Poland,6.91,32,6.38,
45,Russian Federation,6.91,46,5.57,
46,Kuwait,6.83,45,5.64,
47,Slovakia,6.82,40,5.96,
48,Hungary,6.82,41,5.92,
49,Uruguay,6.7,52,5.19,
50,Bulgaria,6.52,47,5.45,
51,Serbia,6.45,51,5.29,
52,Argentina,6.4,54,5.02,
53,Cyprus,6.37,44,5.75,
54,Oman,6.33,68,4.41,
55,Chile,6.31,59,4.9,
56,Lebanon,6.29,77,4.18,
57,Costa Rica,6.2,80,4.07,
58,Kazakhstan,6.2,62,4.81,
59,Romania,6.11,55,4.99,
60,TFYR Macedonia,6.07,57,4.96,
61,Brazil,6.03,73,4.29,
62,Antigua & Barbuda,5.93,58,4.91,
63,St. Kitts and Nevis,5.92,43,5.8,
64,Malaysia,5.9,61,4.85,
65,Montenegro,5.9,60,4.89,
66,Moldova,5.81,74,4.28,
67,Azerbaijan,5.79,76,4.21,
68,St. Vincent and the Grenadines,5.69,63,4.69,
69,Turkey,5.58,67,4.56,
70,Trinidad & Tobago,5.57,65,4.58,
71,Brunei Darussalam,5.53,53,5.05,
72,Venezuela,5.48,71,4.36,
73,Mauritius,5.41,72,4.31,
74,Thailand,5.36,92,3.62,
75,Colombia,5.32,83,3.91,
76,Armenia,5.32,78,4.1,
77,Bosnia and Herzegovina,5.28,75,4.28,
78,Georgia,5.25,85,3.76,
79,Ukraine,5.23,69,4.41,
80,Dominica,5.12,66,4.56,
81,Maldives,5.08,82,3.92,
82,China,5.05,87,3.69,
83,Grenada,5.05,64,4.67,
84,Mongolia,5,97,3.52,
85,Suriname,4.99,100,3.39,
86,St. Lucia,4.98,70,4.39,
87,Seychelles,4.96,81,3.98,
88,South Africa,4.9,88,3.65,
89,Panama,4.87,79,4.07,
90,Ecuador,4.81,90,3.65,
91,Iran (I.R.),4.79,99,3.48,
92,Jordan,4.75,84,3.82,
93,Tunisia,4.73,93,3.62,
94,Albania,4.73,89,3.65,
95,Mexico,4.68,86,3.7,
96,Cape Verde,4.62,107,3.14,
97,Kyrgyzstan,4.62,112,3.02,
98,Philippines,4.57,105,3.16,
99,Morocco,4.47,96,3.55,
100,Egypt,4.4,98,3.48,
101,Fiji,4.33,102,3.28,
102,Viet Nam,4.28,94,3.61,
103,Dominican Rep.,4.26,101,3.38,
104,Peru,4.26,91,3.64,
105,Jamaica,4.23,95,3.6,
106,El Salvador,4.2,110,3.1,
107,Bolivia,4.08,113,3,
108,Indonesia,3.94,109,3.11,
109,Ghana,3.9,130,1.98,
110,Tonga,3.82,111,3.08,
111,Botswana,3.82,117,2.86,
112,Paraguay,3.79,108,3.11,
113,Algeria,3.71,114,2.99,
114,Guyana,3.65,103,3.24,
115,Sri Lanka,3.64,115,2.97,
116,Belize,3.56,104,3.17,
117,Syria,3.48,106,3.14,
118,Namibia,3.41,120,2.63,
119,Bhutan,3.35,128,2.02,
120,Honduras,3.33,116,2.94,
121,Guatemala,3.26,118,2.86,
122,Samoa,3.11,121,2.43,
123,Nicaragua,3.04,123,2.4,
124,Kenya,3.02,126,2.09,
125,Vanuatu,2.93,124,2.19,
126,Sudan,2.93,127,2.05,
127,Zimbabwe,2.9,132,1.97,
128,Lesotho,2.81,141,1.74,
129,Cuba,2.79,119,2.66,
130,Cambodia,2.74,131,1.98,
131,India,2.69,125,2.14,
132,Senegal,2.68,137,1.8,
133,Gabon,2.68,122,2.41,
134,Nigeria,2.61,133,1.96,
135,Gambia,2.6,129,1.99,
136,Nepal,2.59,140,1.75,
137,C™te d'Ivoire,2.51,142,1.74,
138,Lao P.D.R.,2.45,135,1.92,
139,Solomon Islands,2.42,139,1.78,
140,Angola,2.32,144,1.68,
141,Congo (Rep.),2.27,136,1.83,
142,Myanmar,2.27,150,1.58,
143,Pakistan,2.24,138,1.79,
144,Bangladesh,2.22,148,1.61,
145,Mali,2.22,155,1.46,
146,Equatorial Guinea,2.21,134,1.96,
147,Cameroon,2.19,149,1.6,
148,Djibouti,2.19,143,1.69,
149,Uganda,2.14,151,1.57,
150,Mauritania,2.07,146,1.63,
151,Benin,2.05,147,1.63,
152,Togo,2.04,145,1.64,
